id,title,year,doi,venue,cited_by_count
https://openalex.org/W3163755028,"Internet of Things 2.0: Concepts, Applications, and Future Directions",2021,https://doi.org/10.1109/access.2021.3078549,IEEE Access,102
https://openalex.org/W4210879646,"A Review on Antenna Technologies for Ambient RF Energy Harvesting and Wireless Power Transfer: Designs, Challenges and Applications",2022,https://doi.org/10.1109/access.2022.3149276,IEEE Access,148
https://openalex.org/W4366977512,"Ethical hacking for IoT: Security issues, challenges, solutions and recommendations",2023,https://doi.org/10.1016/j.iotcps.2023.04.002,Internet of Things and Cyber-Physical Systems,85
https://openalex.org/W4394804988,Secure Multi-Party Computation for Machine Learning: A Survey,2024,https://doi.org/10.1109/access.2024.3388992,IEEE Access,33
https://openalex.org/W4407985823,IoT‐5G and B5G/6G resource allocation and network slicing orchestration using learning algorithms,2025,https://doi.org/10.1049/ntw2.70002,IET Networks,7
https://openalex.org/W3211742690,Machine Learning in Beyond 5G/6G Networks—State-of-the-Art and Future Trends,2021,https://doi.org/10.3390/electronics10222786,Electronics,91
https://openalex.org/W4312349588,"Internet of Things: Device Capabilities, Architectures, Protocols, and Smart Applications in Healthcare Domain",2022,https://doi.org/10.1109/jiot.2022.3228795,IEEE Internet of Things Journal,80
https://openalex.org/W4388966623,Toward Enhanced Attack Detection and Explanation in Intrusion Detection System-Based IoT Environment Data,2023,https://doi.org/10.1109/access.2023.3336678,IEEE Access,30
https://openalex.org/W4322576550,<i>Trust–SIoT</i>: Toward Trustworthy Object Classification in the Social Internet of Things,2023,https://doi.org/10.1109/tnsm.2023.3247831,IEEE Transactions on Network and Service Management,28
https://openalex.org/W4320473171,Tracking the Research on Ten Emerging Digital Technologies in the AECO Industry,2023,https://doi.org/10.1061/jcemd4.coeng-12290,Journal of Construction Engineering and Management,27
https://openalex.org/W4389080276,"A Survey on IoT-Edge-Cloud Continuum Systems: Status, Challenges, Use Cases, and Open Issues",2023,https://doi.org/10.3390/fi15120383,Future Internet,27
https://openalex.org/W4385453905,An enhanced energy efficient protocol for large-scale IoT-based heterogeneous WSNs,2023,https://doi.org/10.1016/j.sciaf.2023.e01807,Scientific African,26
https://openalex.org/W4408608231,Internet of Things’ sustainability effects: quantile and temporal insights,2025,https://doi.org/10.1057/s41599-025-04665-7,Humanities and Social Sciences Communications,3
https://openalex.org/W4293418771,Current status of and future opportunities for digital agriculture in Australia,2022,https://doi.org/10.1071/cp21594,Crop and Pasture Science,31
https://openalex.org/W4281493184,Wireless Sensor Network coverage optimization based on Yin–Yang pigeon-inspired optimization algorithm for Internet of Things,2022,https://doi.org/10.1016/j.iot.2022.100546,Internet of Things,28
https://openalex.org/W4293370545,An Improved Lightweight Two-Factor Authentication Protocol for IoT Applications,2022,https://doi.org/10.1109/tii.2022.3201971,IEEE Transactions on Industrial Informatics,27
https://openalex.org/W4319786661,Neglected infrastructures for 6G—Underwater communications: How mature are they?,2023,https://doi.org/10.1016/j.jnca.2023.103595,Journal of Network and Computer Applications,18
https://openalex.org/W4401433593,Parental autonomy support and psychological control and children's biobehavioral functioning: Historical cohort differences in urban China,2024,https://doi.org/10.1111/cdev.14145,Child Development,10
https://openalex.org/W4391554010,Frequency Selective Surface Structures-Based RF Energy Harvesting Systems and Applications: FSS-Based RF Energy Harvesting Systems,2024,https://doi.org/10.1109/mmm.2023.3340988,IEEE Microwave Magazine,9
https://openalex.org/W4385656415,Low-Cost and Low-Frequency Impedance Meter for Soil Water Content Measurement in the Precision Agriculture Scenario,2023,https://doi.org/10.1109/tim.2023.3302898,IEEE Transactions on Instrumentation and Measurement,15
https://openalex.org/W4388510242,"A Survey on IoT-Edge-Cloud Continuum Systems: Status, Challenges, Use Cases, and Open Issues",2023,https://doi.org/10.20944/preprints202311.0532.v1,,15
