id,title,year,doi,venue,cited_by_count
dbbd634ab2ce72116a88123d1a6a6caa0ca34ab8,"Internet of Things 2.0: Concepts, Applications, and Future Directions",2021,10.1109/ACCESS.2021.3078549,IEEE Access,0
3b41c372d9ccc955aaa6acca283c8fad310b422b,High-precision wearable ionic composite sensor array with material-circuit-software co-design for multi-scenario biomechanical monitoring,2025,10.1016/j.sna.2025.117106,Sensors and Actuators A: Physical,0
325ff5d8c7a7f3ac8519dfc49866771c8de65933,"Adaptive network switching algorithm for sensor data transfer: a simulation framework integrating GSM, Wi-Fi, and LoRa networks",2025,10.3389/friot.2025.1520653,Frontiers in the Internet of Things,0
ce88934220069ec6ce9c7e8c25757cc7c4abb8bd,The Internet of Things Vision: Applications and Challenges,2025,10.1109/ACIT65614.2025.11185832,"Automation, Control, and Information Technology",0
c4fe4d1f6cdfb1476c3631556f95010b786a0739,Architectural vulnerabilities of IoT devices in the context of side channel attacks,2025,10.1109/ACDSA65407.2025.11165979,"2025 International Conference on Artificial Intelligence, Computer, Data Sciences and Applications (ACDSA)",0
2f4d7c28dea5f8b4b4c87b01c8ddfa4eddb7c39a,Optimizing lightweight neural networks for efficient mobile edge computing,2025,10.1038/s41598-025-04652-7,Scientific Reports,0
67244f09af66a0c6531aec121f4e1168dacbb8fe,Highly Sensitive Differential 3-D Oblique-Gap Rectangular Sensor for Noninvasive Glucose-Level Monitoring,2025,10.1109/JSEN.2025.3566770,IEEE Sensors Journal,0
3d8307f9f91496c8762e4556e2d2ccbeea3c22b5,A Review on 6G: Pioneering the Future of Wireless Communication,2025,10.23919/SpliTech65624.2025.11091642,2025 10th International Conference on Smart and Sustainable Technologies (SpliTech),0
32794a4314aee72093cf3d31b48a5d6da2cd984b,Revolutionizing Medical Data Transmission with IoMT: A Comprehensive Survey of Wireless Communication Solutions and Future Directions,2025,10.48550/arXiv.2504.02446,arXiv.org,0
2ec1e7fd4f2f25b03b9df5d87786ccb68f50fa9f,GeXSe (Generative Explanatory Sensor System): A Deep Generative Method for Human Activity Recognition of Smart Spaces IOT,2025,10.1109/JSEN.2025.3541158,IEEE Sensors Journal,0
f2cb2fdc9eea3dde2a8e09a6718a606574a2600e,Lightweight batch authentication and key agreement scheme for IIoT gateways,2025,10.1016/j.sysarc.2025.103368,Journal of systems architecture,0
5e71412a5cdaf8a39e7ad0019c84dc34fc2503a9,IoT-5G and B5G/6G resource allocation and network slicing orchestration using learning algorithms,2025,10.1049/ntw2.70002,IET Networks,7
65b737ca8fc7cf707eff4bf0cc58a58f0798c019,Monitoring and Controlling Greenhouse Parameters by using IOT,2024,10.1109/INSPECT63485.2024.10896068,2024 IEEE International Conference on Intelligent Signal Processing and Effective Communication Technologies (INSPECT),1
28505f1fc50b46d83ccd5dd8195e1cc0f4b88d42,"In Situ Wide-Range Permittivity Measurement: Compact, Cost-Effective, and Highly Sensitive Sensor Using Reconfigurable Phase Shifter",2024,10.1109/TCSI.2024.3382304,IEEE Transactions on Circuits and Systems Part 1: Regular Papers,6
609e28b25139e491e50c15cc745fc7012d52fe9a,A Spectral-Based Blade Fault Detection in Shot Blast Machines with XGBoost and Feature Importance,2024,10.3390/jsan13050064,J. Sens. Actuator Networks,1
450b17bc8f27331d4dce08dbbde828eb5b56a9cf,Novel Robust Perspective Rectification for Automatic Circular-Meter Reading,2024,10.1109/JSEN.2024.3439883,IEEE Sensors Journal,0
9202bbd52493e35fbbf55763239183c123a8f03d,"5G Security Features, Vulnerabilities, Threats, and Data Protection in IoT and Mobile Devices: A Systematic Review",2024,10.70082/esiculture.vi.1054,Evolutionary Studies in Imaginative Culture,2
c69d11e2df050d86eac465d884ac81e4688a6be2,Quantifying impact: Bibliometric examination of IoT's evolution in sustainable development,2024,10.1016/j.iot.2024.101370,Internet of Things,3
72ca4c917cc2bc4f9df27323a9da96f29342091e,Internet of Things Networks: Enabling Simultaneous Wireless Information and Power Transfer,2024,10.48550/arXiv.2408.16193,arXiv.org,6
bdbbd32fc9913064811051a94ec67e207b92fbd4,Compact Multiservice Antenna for Sensing and Communication Using Reconfigurable Complementary Spiral Resonator,2024,10.1109/TIM.2023.3300466,IEEE Transactions on Instrumentation and Measurement,15
a5c274bf78a3d429239012e55d8c36db59dfe5fc,"Enabling Wireless Communications, Energy Harvesting, and Energy Saving by Using a Multimode Smart Nonlinear Circuit (MSNC)",2024,10.1109/TIM.2024.3369141,IEEE Transactions on Instrumentation and Measurement,2
f2f34a3ff78cd3649a42274336593b056be41017,High-Sensitivity and Compact Time-domain Soil Moisture Sensor Using Dispersive Phase Shifter for Complex Permittivity Measurement,2024,10.48550/arXiv.2408.10462,arXiv.org,27
67c22d2d44f3819b92d05954103c40737d4ea18a,Multi-Agent Multi-Armed Bandit Learning for Grant-Free Access in Ultra-Dense IoT Networks,2024,10.1109/TCCN.2024.3366908,IEEE Transactions on Cognitive Communications and Networking,3
0ced1b16023d9a3786e1400aa79be114e2e836d6,Physical Layer Security in Intelligent Reflecting Surface-Enabled Small NOMA IoT Network,2024,10.1109/WINCOM62286.2024.10658589,International Conference on Wireless Networks and Mobile Communications,0
5981931de97659c7dc01336517590c6b10c0b5c8,Autonomous Nonlinear Passive Transmit-Receive Switch for Compact IoT Devices: A Three-Port Agile Network,2024,10.23919/EuMC61614.2024.10732450,European Microwave Conference,1
a5ee7536a3a199d31b96808d33b9242cab4d0ae0,Efficient Design of a Pixelated Rectenna for WPT Applications,2024,,,0
1eaf586f60f1a52010354f1a157fd32d4e78c4fe,Optimization analysis of average message delivery time for healthcare monitoring using a developed NB-IoT technology in a smart city,2024,10.1016/j.iot.2024.101290,Internet of Things,6
5fd50597d5988271686679575867d2a596a41804,SEES-QL: An Improved Scalable and Energy-Efficient Scheme for WSNs based on Lightweight Q-learning,2024,10.1109/ASET60340.2024.10708695,2024 Advances in Science and Engineering Technology International Conferences (ASET),0
6b6cd04ce9f65774fa48dbd025b9d5613b48ada3,Bandwidth Usage Reduction by Traffic Prediction Using Transfer Learning in Satellite Communication Systems,2024,10.1109/TVT.2023.3341442,IEEE Transactions on Vehicular Technology,9
d6d58151c9ba4123a4fd1503fcc6988918dcae11,Frequency Selective Surface Structures-Based RF Energy Harvesting Systems and Applications: FSS-Based RF Energy Harvesting Systems,2024,10.1109/MMM.2023.3340988,IEEE Microwave Magazine,9
266babcc53374dcd9becd4153ca97c8966c7ae90,Machine-Learning-Based Predictive Modeling Analysis in Ambient RF Energy Harvesting for IoT Systems,2024,10.1109/JSEN.2023.3334491,IEEE Sensors Journal,3
e336e440a003e0dd25b1b2ba25fd58ed01a35866,Ultra-Fast and Efficient Design Method Using Deep Learning for Capacitive Coupling WPT System,2024,10.1109/TPEL.2023.3319505,IEEE transactions on power electronics,7
9ff042b0300f2a11da721e6bd3070c4f1c5b7aa2,HAPS-Based Interference Suppression Through Null Broadening With Directivity Control in Space-Air-Ground Integrated Networks,2023,10.1109/TVT.2023.3295385,IEEE Transactions on Vehicular Technology,18
0ce891908c88656d81d769b605f7445de2b5e638,"A Survey on IoT-Edge-Cloud Continuum Systems: Status, Challenges, Use Cases, and Open Issues",2023,10.20944/preprints202311.0532.v1,Future Internet,55
53f17c49758cc3b713facd3cb86e7259c11c9025,Multiservice Compact Pixelated Stacked Antenna With Different Pixel Shapes for IoT Applications,2023,10.1109/JIOT.2023.3281816,IEEE Internet of Things Journal,9
7ea343f45de6c5a83eeb3d49428632006807c41a,Real-Time Lightweight Cloud-Based Access Control for Wearable IoT Devices: A Zero Trust Protocol,2023,10.1145/3628356.3630118,Proceedings of the First International Workshop on Security and Privacy of Sensing Systems,7
78619c40a741a85edd1f42193ab617453b720f4d,Extruder Machine Gear Fault Detection Using Autoencoder LSTM via Sensor Fusion Approach,2023,10.3390/inventions8060140,Inventions,7
d086ab91b7d6a911f10f8e9ca807eaec6e79424b,Non-optimal impacts of internet expansion on community capacity in rural areas,2023,10.1016/j.resglo.2023.100176,Research in Globalization,3
225bf6e297dd10d316cdb2d430c0f18c2768a59c,Mission-Critical Internet of Things on the 6G Network: Services and Apps with Networking Architecture,2023,10.1109/VTC2023-Fall60731.2023.10333821,IEEE Vehicular Technology Conference,6
9839ea2a03161fc3924be2ddd8ac1be1bf4f5adf,Resource provisioning model for executing realistic workload in heterogenous internet of things environment,2023,10.11591/ijeecs.v32.i1.pp318-327,Indonesian Journal of Electrical Engineering and Computer Science,0
